sbspcsn,Order,familis,long,lat,SITECODE,SITENAME,RELEASE_DA,MS,SITETYPE,INSPIRE_ID,PER.x,Code_18,Remark,Area_Ha,ID,GRID_CODE,LABEL1,LABEL2,LABEL3,RGB,hex,PER.y,elevation,hilda_transition,hilda_2018,hilda_1998
Acanthopetalum minotauri,Diplopoda,Schizopetalidae,24.4661,35.157,,,,,,,,"321",,310.030108064995,EU_658331,26,Forest and semi natural areas,Scrub and/or herbaceous vegetation associations,Natural grasslands,204-242-077,#CCF24D,ะ. สัวิวำ,178.471481323242,33,33,33
Acanthopetalum minotauri,Diplopoda,Schizopetalidae,24.2527,35.2574,GR4340012,ASFENDOU - KALLIKRATIS KAI PARAKTIA ZONI,2021/12/14,GR,B,,ะ. สัวิวำ,"323",,3545.2986026198,EU_662197,28,Forest and semi natural areas,Scrub and/or herbaceous vegetation associations,Sclerophyllous vegetation,166-230-077,#A6E64D,ะ. สัวิวำ,945.295288085938,33,33,33
Acanthopetalum minotauri,Diplopoda,Schizopetalidae,24.2787,35.2563,GR4340012,ASFENDOU - KALLIKRATIS KAI PARAKTIA ZONI,2021/12/14,GR,B,,ะ. สัวิวำ,"324",,56.980369700053,EU_667221,29,Forest and semi natural areas,Scrub and/or herbaceous vegetation associations,Transitional woodland-shrub,166-242-000,#A6F200,ะ. สัวิวำ,710.995300292969,33,33,33
Acanthopetalum minotauri,Diplopoda,Schizopetalidae,24.279,35.3269,GR4340010,DRAPANO (VOREIOANATOLIKES AKTES) โ€“ PARALIA GEORGIOUPOLIS โ€“ LIMNI KOURNA - SPILAIO PSIMAKI,2021/12/14,GR,B,,ะ. สัวิวำ,"512",,67.6812584999794,EU_674255,41,Water bodies,Inland waters,Water bodies,128-242-230,#80F2E6,ะ. สัวิวำ,10.6300001144409,33,33,33
Acanthopetalum minotauri,Diplopoda,Schizopetalidae,23.8104,35.3812,,,,,,,,"323",,6564.14123753495,EU_662318,28,Forest and semi natural areas,Scrub and/or herbaceous vegetation associations,Sclerophyllous vegetation,166-230-077,#A6E64D,ะ. สัวิวำ,655.756164550781,33,33,33
Acanthopetalum minotauri,Diplopoda,Schizopetalidae,23.9885,35.4406,,,,,,,,"321",,924.404157724946,EU_658595,26,Forest and semi natural areas,Scrub and/or herbaceous vegetation associations,Natural grasslands,204-242-077,#CCF24D,ะ. สัวิวำ,422.976440429688,33,33,33
Acanthopetalum minotauri,Diplopoda,Schizopetalidae,23.9046,35.3304,GR4340008,LEFKA ORI KAI PARAKTIA ZONI,2021/12/14,GR,B,,ะ. สัวิวำ,"211",,243.460370204974,EU_634180,12,Agricultural areas,Arable land,Non-irrigated arable land,255-255-168,#FFFFA8,ะ. สัวิวำ,1064.26257324219,22,22,22
Acanthopetalum minotauri,Diplopoda,Schizopetalidae,24.9313,35.1629,GR4330005,"OROS IDI (VORIZIA, GERANOI, KALI MADARA)",2021/12/14,GR,B,,ะ. สัวิวำ,"312",,464.467138375029,EU_654077,24,Forest and semi natural areas,Forests,Coniferous forest,000-166-000,#00A600,ะ. สัวิวำ,1082.18432617188,33,33,33
Acanthopetalum minotauri,Diplopoda,Schizopetalidae,24.0545,35.2884,GR4340008,LEFKA ORI KAI PARAKTIA ZONI,2021/12/14,GR,B,,ะ. สัวิวำ,"332",,3186.0592884301,EU_672274,31,Forest and semi natural areas,Open spaces with little or no vegetation,Bare rocks,204-204-204,#CCCCCC,ะ. สัวิวำ,2008.04443359375,33,33,33
Acanthopetalum minotauri,Diplopoda,Schizopetalidae,25.1228,35.3403,,,,,,,,"142",,55.3720673200403,EU_633839,11,Artificial surfaces,"Artificial, non-agricultural vegetated areas",Sport and leisure facilities,255-230-255,#FFE6FF,ะ. สัวิวำ,11.4346885681152,0,0,0
Acanthopetalum minotauri,Diplopoda,Schizopetalidae,25.1417,35.0526,,,,,,,,"223",,61940.6133960398,EU_637529,17,Agricultural areas,Permanent crops,Olive groves,230-166-000,#E6A600,ะ. สัวิวำ,233.296188354492,22,22,22
Acanthopetalum minotauri,Diplopoda,Schizopetalidae,24.279,35.3269,GR4340010,DRAPANO (VOREIOANATOLIKES AKTES) โ€“ PARALIA GEORGIOUPOLIS โ€“ LIMNI KOURNA - SPILAIO PSIMAKI,2021/12/14,GR,B,,ะ. สัวิวำ,"512",,67.6812584999794,EU_674255,41,Water bodies,Inland waters,Water bodies,128-242-230,#80F2E6,ะ. สัวิวำ,10.6300001144409,33,33,33
Acanthopetalum minotauri,Diplopoda,Schizopetalidae,24.8286,34.9425,,,,,,,,"243",,52.6650772550013,EU_645249,21,Agricultural areas,Heterogeneous agricultural areas,"Land principally occupied by agriculture, with significant areas of natural vegetation",230-204-077,#E6CC4D,ะ. สัวิวำ,67.8631973266602,33,33,33
Acanthopetalum minotauri,Diplopoda,Schizopetalidae,25.6765,35.1142,,,,,,,,"312",,196.80455042501,EU_656250,24,Forest and semi natural areas,Forests,Coniferous forest,000-166-000,#00A600,ะ. สัวิวำ,451.084442138672,33,33,33
Acanthopetalum minotauri,Diplopoda,Schizopetalidae,24.6262,35.1307,,,,,,,,"323",,529.370420030103,EU_662119,28,Forest and semi natural areas,Scrub and/or herbaceous vegetation associations,Sclerophyllous vegetation,166-230-077,#A6E64D,ะ. สัวิวำ,415.070861816406,33,33,33
Acanthopetalum minotauri,Diplopoda,Schizopetalidae,24.9458,34.9933,,,,,,,,"321",,133.219586154946,EU_658291,26,Forest and semi natural areas,Scrub and/or herbaceous vegetation associations,Natural grasslands,204-242-077,#CCF24D,ะ. สัวิวำ,339.154205322266,33,33,33
Acanthopetalum minotauri,Diplopoda,Schizopetalidae,25.8407,35.0319,,,,,,,,"223",,418.655034965023,EU_637359,17,Agricultural areas,Permanent crops,Olive groves,230-166-000,#E6A600,ะ. สัวิวำ,177.33039855957,33,33,33
Acanthopetalum minotauri,Diplopoda,Schizopetalidae,25.1585,35.3319,,,,,,,,"122",,71.2376393199068,EU_633219,4,Artificial surfaces,"Industrial, commercial and transport units",Road and rail networks and associated land,204-000-000,#CC0000,ะ. สัวิวำ,19.7875728607178,11,11,11
Acanthopetalum minotauri,Diplopoda,Schizopetalidae,24.8286,34.9425,,,,,,,,"243",,52.6650772550013,EU_645249,21,Agricultural areas,Heterogeneous agricultural areas,"Land principally occupied by agriculture, with significant areas of natural vegetation",230-204-077,#E6CC4D,ะ. สัวิวำ,67.8631973266602,33,33,33
Acanthopetalum minotauri,Diplopoda,Schizopetalidae,24.8286,34.9425,,,,,,,,"243",,52.6650772550013,EU_645249,21,Agricultural areas,Heterogeneous agricultural areas,"Land principally occupied by agriculture, with significant areas of natural vegetation",230-204-077,#E6CC4D,ะ. สัวิวำ,67.8631973266602,33,33,33
Acanthopetalum minotauri,Diplopoda,Schizopetalidae,24.9414,34.9369,GR4310005,ASTEROUSIA (KOFINAS),2021/12/14,GR,B,,ะ. สัวิวำ,"242",,37.3238413899733,EU_641154,20,Agricultural areas,Heterogeneous agricultural areas,Complex cultivation patterns,255-230-077,#FFE64D,ะ. สัวิวำ,64.9274291992188,0,0,0
Acanthopetalum minotauri,Diplopoda,Schizopetalidae,24.9414,34.9369,GR4310005,ASTEROUSIA (KOFINAS),2021/12/14,GR,B,,ะ. สัวิวำ,"242",,37.3238413899733,EU_641154,20,Agricultural areas,Heterogeneous agricultural areas,Complex cultivation patterns,255-230-077,#FFE64D,ะ. สัวิวำ,64.9274291992188,0,0,0
Acanthopetalum minotauri,Diplopoda,Schizopetalidae,24.9458,34.9933,,,,,,,,"321",,133.219586154946,EU_658291,26,Forest and semi natural areas,Scrub and/or herbaceous vegetation associations,Natural grasslands,204-242-077,#CCF24D,ะ. สัวิวำ,339.154205322266,33,33,33
Acanthopetalum minotauri,Diplopoda,Schizopetalidae,24.6262,35.1307,,,,,,,,"323",,529.370420030103,EU_662119,28,Forest and semi natural areas,Scrub and/or herbaceous vegetation associations,Sclerophyllous vegetation,166-230-077,#A6E64D,ะ. สัวิวำ,415.070861816406,33,33,33
Acanthopetalum minotauri,Diplopoda,Schizopetalidae,24.9313,35.1629,GR4330005,"OROS IDI (VORIZIA, GERANOI, KALI MADARA)",2021/12/14,GR,B,,ะ. สัวิวำ,"312",,464.467138375029,EU_654077,24,Forest and semi natural areas,Forests,Coniferous forest,000-166-000,#00A600,ะ. สัวิวำ,1082.18432617188,33,33,33
Acanthopetalum minotauri,Diplopoda,Schizopetalidae,24.624,35.2076,,,,,,,,"223",,409.230989564974,EU_637328,17,Agricultural areas,Permanent crops,Olive groves,230-166-000,#E6A600,ะ. สัวิวำ,567.450561523438,33,33,33
Acanthopetalum minotauri,Diplopoda,Schizopetalidae,24.9458,34.9933,,,,,,,,"321",,133.219586154946,EU_658291,26,Forest and semi natural areas,Scrub and/or herbaceous vegetation associations,Natural grasslands,204-242-077,#CCF24D,ะ. สัวิวำ,339.154205322266,33,33,33
Acanthopetalum minotauri,Diplopoda,Schizopetalidae,24.9107,35.1416,,,,,,,,"321",,252.06439036502,EU_658392,26,Forest and semi natural areas,Scrub and/or herbaceous vegetation associations,Natural grasslands,204-242-077,#CCF24D,ะ. สัวิวำ,509.886169433594,33,33,33
Acanthopetalum minotauri,Diplopoda,Schizopetalidae,24.8286,34.9425,,,,,,,,"243",,52.6650772550013,EU_645249,21,Agricultural areas,Heterogeneous agricultural areas,"Land principally occupied by agriculture, with significant areas of natural vegetation",230-204-077,#E6CC4D,ะ. สัวิวำ,67.8631973266602,33,33,33
Acanthopetalum minotauri,Diplopoda,Schizopetalidae,25.1585,35.3319,,,,,,,,"122",,71.2376393199068,EU_633219,4,Artificial surfaces,"Industrial, commercial and transport units",Road and rail networks and associated land,204-000-000,#CC0000,ะ. สัวิวำ,19.7875728607178,11,11,11
Acanthopetalum minotauri,Diplopoda,Schizopetalidae,25.1585,35.3319,,,,,,,,"122",,71.2376393199068,EU_633219,4,Artificial surfaces,"Industrial, commercial and transport units",Road and rail networks and associated land,204-000-000,#CC0000,ะ. สัวิวำ,19.7875728607178,11,11,11
Acanthopetalum minotauri,Diplopoda,Schizopetalidae,25.1585,35.3319,,,,,,,,"122",,71.2376393199068,EU_633219,4,Artificial surfaces,"Industrial, commercial and transport units",Road and rail networks and associated land,204-000-000,#CC0000,ะ. สัวิวำ,19.7875728607178,11,11,11
Acanthopetalum minotauri,Diplopoda,Schizopetalidae,25.1585,35.3319,,,,,,,,"122",,71.2376393199068,EU_633219,4,Artificial surfaces,"Industrial, commercial and transport units",Road and rail networks and associated land,204-000-000,#CC0000,ะ. สัวิวำ,19.7875728607178,11,11,11
Acanthopetalum minotauri,Diplopoda,Schizopetalidae,25.1228,35.3403,,,,,,,,"142",,55.3720673200403,EU_633839,11,Artificial surfaces,"Artificial, non-agricultural vegetated areas",Sport and leisure facilities,255-230-255,#FFE6FF,ะ. สัวิวำ,11.4346885681152,0,0,0
Acanthopetalum minotauri,Diplopoda,Schizopetalidae,25.1228,35.3403,,,,,,,,"142",,55.3720673200403,EU_633839,11,Artificial surfaces,"Artificial, non-agricultural vegetated areas",Sport and leisure facilities,255-230-255,#FFE6FF,ะ. สัวิวำ,11.4346885681152,0,0,0
Acanthopetalum minotauri,Diplopoda,Schizopetalidae,25.1228,35.3403,,,,,,,,"142",,55.3720673200403,EU_633839,11,Artificial surfaces,"Artificial, non-agricultural vegetated areas",Sport and leisure facilities,255-230-255,#FFE6FF,ะ. สัวิวำ,11.4346885681152,0,0,0
Acanthopetalum minotauri,Diplopoda,Schizopetalidae,25.3387,35.0138,,,,,,,,"312",,108.00098971989,EU_656219,24,Forest and semi natural areas,Forests,Coniferous forest,000-166-000,#00A600,ะ. สัวิวำ,204.660232543945,33,33,33
Acanthopetalum minotauri,Diplopoda,Schizopetalidae,24.9458,34.9933,,,,,,,,"321",,133.219586154946,EU_658291,26,Forest and semi natural areas,Scrub and/or herbaceous vegetation associations,Natural grasslands,204-242-077,#CCF24D,ะ. สัวิวำ,339.154205322266,33,33,33
Acanthopetalum minotauri,Diplopoda,Schizopetalidae,24.624,35.2076,,,,,,,,"223",,409.230989564974,EU_637328,17,Agricultural areas,Permanent crops,Olive groves,230-166-000,#E6A600,ะ. สัวิวำ,567.450561523438,33,33,33
Acanthopetalum minotauri,Diplopoda,Schizopetalidae,25.1458,35.3411,,,,,,,,"112",,104.456804695017,EU_630128,2,Artificial surfaces,Urban fabric,Discontinuous urban fabric,255-000-000,#FF0000,ะ. สัวิวำ,6.96402263641357,0,0,0
Acanthopetalum minotauri,Diplopoda,Schizopetalidae,25.1654,35.2823,GR4310002,GIOUCHTAS - FARANGI AGIAS EIRINIS,2021/12/14,GR,B,,ะ. สัวิวำ,"243",,83.2367754750125,EU_645657,21,Agricultural areas,Heterogeneous agricultural areas,"Land principally occupied by agriculture, with significant areas of natural vegetation",230-204-077,#E6CC4D,ะ. สัวิวำ,129.634490966797,22,22,22
Acanthopetalum minotauri,Diplopoda,Schizopetalidae,25.0389,35.3679,,,,,,,,"323",,362.742380969999,EU_662519,28,Forest and semi natural areas,Scrub and/or herbaceous vegetation associations,Sclerophyllous vegetation,166-230-077,#A6E64D,ะ. สัวิวำ,19.8370189666748,33,33,33
