internalTaxonId,scientificName,name,genusName,speciesName,speciesAuthor,infraType,infrarankAuthor
137186,Onthophagus pugionatus,Onthophagus rufaticollis d'Orbigny 1904,Onthophagus,rufaticollis,d'Orbigny 1904,,
137186,Onthophagus pugionatus,"Onthophagus caucanus Balthasar, 1939",Onthophagus,caucanus,"Balthasar, 1939",,
137186,Onthophagus pugionatus,Onthophagus pugionatus ssp. latefulvus d'Orbigny 1902,Onthophagus,pugionatus,,subspecies,d'Orbigny 1902
137186,Onthophagus pugionatus,Onthophagus pugionatus ssp. rufus d'Orbigny1905,Onthophagus,pugionatus,,subspecies,d'Orbigny1905
137186,Onthophagus pugionatus,Onthophagus pugionatus ssp. quadraticornis d'Orbigny 1905,Onthophagus,pugionatus,,subspecies,d'Orbigny 1905
137187,Canthidium viride,"Choeridium viride Lucas, 1857",Choeridium,viride,"Lucas, 1857",,
137195,Canthon simulans,"Glaphyrocanthon simulans Martinez, 1950",Glaphyrocanthon,simulans,"Martinez, 1950",,
137198,Heliocopris japetus,Helicopris bicarinulata Boheman 1860,Helicopris,bicarinulata,Boheman 1860,,
137198,Heliocopris japetus,"Copris japetus Klug, 1855",Copris,japetus,"Klug, 1855",,
137213,Demarziella eungella,"Notopedaria eungella Matthews, 1976",Notopedaria,eungella,"Matthews, 1976",,
137217,Mimonthophagus limbibasis,"Onthophagus limbibasis d'Orbigny, 1905",Onthophagus,limbibasis,"d'Orbigny, 1905",,
137222,Canthidium erythropterum,"Choeridium erythropterum Lucas, 1857",Choeridium,erythropterum,"Lucas, 1857",,
137236,Dichotomius dahli,"Pinotus dahli Landin, 1956",Pinotus,dahli,"Landin, 1956",,
137247,Kheper laevistriatus,"Scarabaeus laevistriatus Fairmaire, 1893",Scarabaeus,laevistriatus,"Fairmaire, 1893",,
137247,Kheper laevistriatus,"Scarabaeus bettoni Waterhouse, 1897",Scarabaeus,bettoni,"Waterhouse, 1897",,
137248,Scarabaeolus damarensis,Scarabaeus azureus Ferreira 1952,Scarabaeus,azureus,Ferreira 1952,,
137248,Scarabaeolus damarensis,"Scarabaeus damarensis Janssens, 1940",Scarabaeus,damarensis,"Janssens, 1940",,
137249,Phalops bubalus,"Onthophagus bubalus Harold, 1867",Onthophagus,bubalus,"Harold, 1867",,
137266,Onthophagus subocelliger,"Onthophagus waterhousei Gillet, 1927",Onthophagus,waterhousei,"Gillet, 1927",,
137266,Onthophagus subocelliger,"Onthophagus nanus Waterhouse, 1894",Onthophagus,nanus,"Waterhouse, 1894",,
137273,Kheper nigroaeneus,Scarabaeus usurpator Péringuey 1901,Scarabaeus,usurpator,Péringuey 1901,,
137273,Kheper nigroaeneus,"Ateuchus nigroaeneus Boheman, 1857",Ateuchus,nigroaeneus,"Boheman, 1857",,
137273,Kheper nigroaeneus,"Scarabaues nigroaeneus Boheman, 1857",Scarabaues,nigroaeneus,"Boheman, 1857",,
137286,Caccobius ferrugineus,"Onthophagus ferrugineus Fåhraeus, 1857",Onthophagus,ferrugineus,"Fåhraeus, 1857",,
137294,Canthidium bokermanni,"Neocanthidium bokermanni Martinez, Halffter &amp; Pereira, 1964",Neocanthidium,bokermanni,"Martinez, Halffter &amp; Pereira, 1964",,
137295,Onthophagus vilis,"Onthophagus microtrichius Lea, 1923",Onthophagus,microtrichius,"Lea, 1923",,
137302,Dichotomius glaucus,"Pinotus glaucus Harold, 1869",Pinotus,glaucus,"Harold, 1869",,
137303,Phanaeus bispinus,"Phanaeus digitalis Olsoufieff, 1924",Phanaeus,digitalis,"Olsoufieff, 1924",,
137309,Onthophagus muticus,"Onthophagus kingi Harold, 1869",Onthophagus,kingi,"Harold, 1869",,
137314,Parascatonomus diversiformis,"Onthophagus diversiformis Boucomont, 1914",Onthophagus,diversiformis,"Boucomont, 1914",,
137321,Pachysoma aesculapius,Ateuchus barbatus Thunberg 1818,Ateuchus,barbatus,Thunberg 1818,,
137321,Pachysoma aesculapius,Pachysoma validum Boheman 1857,Pachysoma,validum,Boheman 1857,,
137321,Pachysoma aesculapius,"Scarabaeus aesculapius Olivier, 1789",Scarabaeus,aesculapius,"Olivier, 1789",,
137323,Copris amabilis,"Copris amabile Ferreira, 1958",Copris,amabile,"Ferreira, 1958",,
137324,Allogymnopleurus chloris,"Gymnopleurus chloris Klug, 1855",Gymnopleurus,chloris,"Klug, 1855",,
137330,Onthophagus kavirondus,Onthophagus kavirondi d'Orbigny 1913,Onthophagus,kavirondi,d'Orbigny 1913,,
