assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
135849732,97226481,Scoparia coecimaculalis,ANIMALIA,ARTHROPODA,LEPIDOPTERA,INSECTA,CRAMBIDAE,Scoparia,coecimaculalis,,,,"Warren, 1905",Least Concern,,3.1,Stable,Global
135850031,97226719,Scoparia semiamplalis,ANIMALIA,ARTHROPODA,LEPIDOPTERA,INSECTA,CRAMBIDAE,Scoparia,semiamplalis,,,,"Warren, 1905",Least Concern,,3.1,Stable,Global
135850314,97226785,Udea azorensis,ANIMALIA,ARTHROPODA,LEPIDOPTERA,INSECTA,CRAMBIDAE,Udea,azorensis,,,,"Meyer, Nuss &amp; Speidel, 1997",Near Threatened,B2b(iii),3.1,Stable,Global
135850621,97232026,Brachmia infuscatella,ANIMALIA,ARTHROPODA,LEPIDOPTERA,INSECTA,GELECHIIDAE,Brachmia,infuscatella,,,,"Rebel, 1940",Endangered,"B2ab(ii,iii,iv,v)",3.1,Decreasing,Global
135850950,97236261,Cyclophora azorensis,ANIMALIA,ARTHROPODA,LEPIDOPTERA,INSECTA,GEOMETRIDAE,Cyclophora,azorensis,,,,"(Prout, 1920)",Least Concern,,3.1,Stable,Global
135851249,97236961,Xanthorhoe inaequata,ANIMALIA,ARTHROPODA,LEPIDOPTERA,INSECTA,GEOMETRIDAE,Xanthorhoe,inaequata,,,,"Warren, 1905",Least Concern,,3.1,Stable,Global
135851550,97237103,Micrurapteryx bistrigella,ANIMALIA,ARTHROPODA,LEPIDOPTERA,INSECTA,GRACILLARIIDAE,Micrurapteryx,bistrigella,,,,"(Rebel, 1940)",Endangered,"B2ab(ii,iii,iv)",3.1,Stable,Global
135851862,97237575,Hadena azorica,ANIMALIA,ARTHROPODA,LEPIDOPTERA,INSECTA,NOCTUIDAE,Hadena,azorica,,,,"Meyer &amp; Fibiger, 2002",Critically Endangered,"B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)",3.1,Decreasing,Global
135852168,97237686,Mesapamea storai,ANIMALIA,ARTHROPODA,LEPIDOPTERA,INSECTA,NOCTUIDAE,Mesapamea,storai,,,,"(Rebel, 1940)",Least Concern,,3.1,Stable,Global
135852468,97237920,Noctua atlantica,ANIMALIA,ARTHROPODA,LEPIDOPTERA,INSECTA,NOCTUIDAE,Noctua,atlantica,,,,"(Warren, 1905)",Least Concern,,3.1,Stable,Global
135852785,97238174,Noctua carvalhoi,ANIMALIA,ARTHROPODA,LEPIDOPTERA,INSECTA,NOCTUIDAE,Noctua,carvalhoi,,,,"(Pinker, 1983)",Near Threatened,"B2b(i,iii)",3.1,Stable,Global
135853096,97238330,Phlogophora cabrali,ANIMALIA,ARTHROPODA,LEPIDOPTERA,INSECTA,NOCTUIDAE,Phlogophora,cabrali,,,,"Pinker, 1971",Near Threatened,"B2b(i,iii)",3.1,Stable,Global
135853392,97238422,Phlogophora furnasi,ANIMALIA,ARTHROPODA,LEPIDOPTERA,INSECTA,NOCTUIDAE,Phlogophora,furnasi,,,,"Pinker, 1971",Vulnerable,"B1ab(ii,iii,iv,v)+2ab(ii,iii,iv,v)",3.1,Decreasing,Global
135853688,97238526,Phlogophora interrupta,ANIMALIA,ARTHROPODA,LEPIDOPTERA,INSECTA,NOCTUIDAE,Phlogophora,interrupta,,,,"(Warren, 1905)",Least Concern,,3.1,Stable,Global
135853998,97238633,Phlogophora kruegeri,ANIMALIA,ARTHROPODA,LEPIDOPTERA,INSECTA,NOCTUIDAE,Phlogophora,kruegeri,,,,"Saldaitis &amp; Ivinskis, 2006",Critically Endangered,"B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)",3.1,Decreasing,Global
135854314,97238829,Homoeosoma miguelensis,ANIMALIA,ARTHROPODA,LEPIDOPTERA,INSECTA,PYRALIDAE,Homoeosoma,miguelensis,,,,"Meyer, Nuss &amp; Speidel, 1997",Critically Endangered,"B1ab(i,ii,iii,iv,v)",3.1,Unknown,Global
135854627,97238857,Homoeosoma picoensis,ANIMALIA,ARTHROPODA,LEPIDOPTERA,INSECTA,PYRALIDAE,Homoeosoma,picoensis,,,,"Meyer, Nuss &amp; Speidel, 1997",Critically Endangered,"B1ab(ii,iii,iv,v)+2ab(ii,iii,iv,v)",3.1,Unknown,Global
135854965,97239116,Neomariania incertella,ANIMALIA,ARTHROPODA,LEPIDOPTERA,INSECTA,STATHMOPODIDAE,Neomariania,incertella,,,,"(Rebel, 1940)",Critically Endangered,"B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)",3.1,Unknown,Global
135855305,97239378,Neomariania oecophorella,ANIMALIA,ARTHROPODA,LEPIDOPTERA,INSECTA,STATHMOPODIDAE,Neomariania,oecophorella,,,,"Rebel, 1940",Vulnerable,"B1ab(ii,iii,iv,v)+2ab(ii,iii,iv,v)",3.1,Unknown,Global
135855640,97239466,Neomariania scriptella,ANIMALIA,ARTHROPODA,LEPIDOPTERA,INSECTA,STATHMOPODIDAE,Neomariania,scriptella,,,,"Rebel, 1940",Endangered,"B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)",3.1,Unknown,Global
135855972,97239685,Eudarcia atlantica,ANIMALIA,ARTHROPODA,LEPIDOPTERA,INSECTA,TINEIDAE,Eudarcia,atlantica,,,,"Henderickx, 1995 ",Endangered,"B2ab(i,ii,iv)",3.1,Stable,Global
135856268,97489122,Nysius atlantidum,ANIMALIA,ARTHROPODA,HEMIPTERA,INSECTA,LYGAEIDAE,Nysius,atlantidum,,,,"Horváth, 1980",Least Concern,,3.1,Stable,Global
135856559,97492384,Argyresthia atlanticella,ANIMALIA,ARTHROPODA,LEPIDOPTERA,INSECTA,ARGYRESTHIIDAE,Argyresthia,atlanticella,,,,"Rebel, 1940",Near Threatened,B2a,3.1,Stable,Global
135856851,97492472,Argyresthia minusculella,ANIMALIA,ARTHROPODA,LEPIDOPTERA,INSECTA,ARGYRESTHIIDAE,Argyresthia,minusculella,,,,"Rebel, 1940",Endangered,"B2ab(i,ii,iii,iv,v)",3.1,Unknown,Global
137390841,163740,Heliogomphus kelantanensis,ANIMALIA,ARTHROPODA,ODONATA,INSECTA,GOMPHIDAE,Heliogomphus,kelantanensis,,,,"(Laidlaw, 1902)",Vulnerable,D2,3.1,Decreasing,Global
137390966,163716,Ictinogomphus acutus,ANIMALIA,ARTHROPODA,ODONATA,INSECTA,GOMPHIDAE,Ictinogomphus,acutus,,,,"(Laidlaw, 1914)",Vulnerable,"B2ab(ii,iii)",3.1,Decreasing,Global
137391137,163785,Linaeschna polli,ANIMALIA,ARTHROPODA,ODONATA,INSECTA,AESHNIDAE,Linaeschna,polli,,,,"Martin, 1909",Vulnerable,D2,3.1,Decreasing,Global
137391259,163794,Macrogomphus decemlineatus,ANIMALIA,ARTHROPODA,ODONATA,INSECTA,GOMPHIDAE,Macrogomphus,decemlineatus,,,,"(Sélys, 1878)",Least Concern,,3.1,Unknown,Global
137391570,163670,Mortonagrion alcyone,ANIMALIA,ARTHROPODA,ODONATA,INSECTA,COENAGRIONIDAE,Mortonagrion,alcyone,,,,"(Laidlaw, 1931)",Least Concern,,3.1,Unknown,Global
137391859,163600,Pericnemis triangularis,ANIMALIA,ARTHROPODA,ODONATA,INSECTA,COENAGRIONIDAE,Pericnemis,triangularis,,,,"Laidlaw, 1931",Endangered,"B2ab(ii,iii)",3.1,Decreasing,Global
137392047,163743,Prodasineura peramoena,ANIMALIA,ARTHROPODA,ODONATA,INSECTA,PLATYCNEMIDIDAE,Prodasineura,peramoena,,,,"(Laidlaw, 1913)",Least Concern,,3.1,Decreasing,Global
137392157,163804,Vestalis anacolosa,ANIMALIA,ARTHROPODA,ODONATA,INSECTA,CALOPTERYGIDAE,Vestalis,anacolosa,,,,"Lieftinck, 1965",Least Concern,,3.1,Decreasing,Global
137392306,163807,Vestalis luctuosa,ANIMALIA,ARTHROPODA,ODONATA,INSECTA,CALOPTERYGIDAE,Vestalis,luctuosa,,,,"(Burmeister, 1839)",Least Concern,,3.1,Decreasing,Global
137454032,167476,Euthygomphus parvus,ANIMALIA,ARTHROPODA,ODONATA,INSECTA,GOMPHIDAE,Euthygomphus,parvus,,,,"(Krüger, 1899)",Vulnerable,"B2ab(ii,iii)",3.1,Decreasing,Global
137454211,190789,Macrogomphus thoracicus,ANIMALIA,ARTHROPODA,ODONATA,INSECTA,GOMPHIDAE,Macrogomphus,thoracicus,,,,"McLachlan, 1884",Near Threatened,"B2ab(ii,iii)",3.1,Decreasing,Global
137782101,174498,Devadatta argyoides,ANIMALIA,ARTHROPODA,ODONATA,INSECTA,DEVADATTIDAE,Devadatta,argyoides,,,,"(Selys, 1859)",Least Concern,,3.1,Decreasing,Global
137782247,59716,Enallagma maldivense,ANIMALIA,ARTHROPODA,ODONATA,INSECTA,COENAGRIONIDAE,Enallagma,maldivense,,,,"Laidlaw, 1902",Data Deficient,,3.1,Unknown,Global
138235092,138235074,Erechthis levyi,ANIMALIA,ARTHROPODA,ORTHOPTERA,INSECTA,TETTIGONIIDAE,Erechthis,levyi,,,,"De Luca &amp; Morris, 2016",Data Deficient,,3.1,Unknown,Global
138267615,29599,Rhinocypha latimacula,ANIMALIA,ARTHROPODA,ODONATA,INSECTA,CHLOROCYPHIDAE,Rhinocypha,latimacula,,,,"Lieftinck, 1974",Endangered,"B2ab(ii,iii)",3.1,Decreasing,Global
138267673,168029,Luzonobasis glauca,ANIMALIA,ARTHROPODA,ODONATA,INSECTA,COENAGRIONIDAE,Luzonobasis,glauca,,,,"(Brauer, 1868)",Vulnerable,"B1ab(ii,iii)+2ab(ii,iii)",3.1,Decreasing,Global
138267768,169291,Rhinagrion philippinum,ANIMALIA,ARTHROPODA,ODONATA,INSECTA,PHILOSINIDAE,Rhinagrion,philippinum,,,,"(Selys, 1882)",Least Concern,,3.1,Decreasing,Global
138267915,169292,Coeliccia brachysticta,ANIMALIA,ARTHROPODA,ODONATA,INSECTA,PLATYCNEMIDIDAE,Coeliccia,brachysticta,,,,"Ris, 1912",Endangered,"B1ab(ii,iii)",3.1,Decreasing,Global
138268037,169299,Risiocnemis serrata,ANIMALIA,ARTHROPODA,ODONATA,INSECTA,PLATYCNEMIDIDAE,Risiocnemis,serrata,,,,"(Hagen, 1863)",Least Concern,,3.1,Decreasing,Global
138281366,163590,Pseudagrion coomansi,ANIMALIA,ARTHROPODA,ODONATA,INSECTA,COENAGRIONIDAE,Pseudagrion,coomansi,,,,"Lieftinck, 1937",Least Concern,,3.1,Unknown,Global
138281515,163591,Ceriagrion bellona,ANIMALIA,ARTHROPODA,ODONATA,INSECTA,COENAGRIONIDAE,Ceriagrion,bellona,,,,"Laidlaw, 1915",Least Concern,,3.1,Unknown,Global
138281651,163593,Tetrathemis flavescens,ANIMALIA,ARTHROPODA,ODONATA,INSECTA,LIBELLULIDAE,Tetrathemis,flavescens,,,,"Kirby, 1889",Near Threatened,"B2b(ii,iii)",3.1,Decreasing,Global
138281802,173629221,Anisopleura subplatystyla,ANIMALIA,ARTHROPODA,ODONATA,INSECTA,EUPHAEIDAE,Anisopleura,subplatystyla,,,,"Fraser, 1927",Least Concern,,3.1,Decreasing,Global
138281957,163647,Tetrathemis platyptera,ANIMALIA,ARTHROPODA,ODONATA,INSECTA,LIBELLULIDAE,Tetrathemis,platyptera,,,,"Sélys, 1878",Least Concern,,3.1,Decreasing,Global
138282129,163666,Macromia westwoodii,ANIMALIA,ARTHROPODA,ODONATA,INSECTA,MACROMIIDAE,Macromia,westwoodii,,,,"Sélys, 1874",Least Concern,,3.1,Decreasing,Global
