internalTaxonId,scientificName,kingdomName,phylumName,className,orderName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
137150,Anomiopus smaragdinus,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,SCARABAEIDAE,Anomiopus,smaragdinus,,,,,"(Westwood, 1842)","The genus is exclusively Neotropical and most species occur in South America (Canhedo 2006). The group was reviewed by Canhedo in 2006. However, ten new species were described by the same author in 2004 parallel to the process of publication of taxonomic revision, so that the works that complement the taxonomic revision were published even before the own revision of the genus (Canhedo 2004a, 2004b, 2006). After the publication of these papers the genus now includes 58 species.&#160;Although there is a taxonomic revision with a relatively recent identification key for the genus, it still presents a considerable number of species to describe."
137151,Bdelyrus grandis,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,SCARABAEIDAE,Bdelyrus,grandis,,,,,"Cook, 1998","<p>The group was reviewed by Cook in 1998. According to Cook (1998),&#160;<em>Bdelyrus</em>&#160;is endemic in tropical America and is widespread throughout this region, ranging from Nicaragua to southern Brazil and occurring in humid forest at elevations between 10 and&#160;1,800 m.&#160;Adults have been found in detritus accumulated in reservoirs of both terrestrial and arboreal bromeliads. Species of this group are recorded in dung-baited pitfall traps, carrion-baited&#160;pitfall&#160;traps, wet forest&#160;litter, and flowers of&#160;<em>Heliconia</em>&#160;(Cook 1998).</p>"
137154,Scarabaeus galenus,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,SCARABAEIDAE,Scarabaeus,galenus,,,,,"Westwood, 1847","The genus <em><span class=""SpellE"">Scarabaeus </em>Linnaeus  1758 ranges across the <span class=""SpellE"">Palaearctic</span>, Oriental and <span class=""SpellE"">Afrotropical regions and is currently considered to comprise  four subgenera (<span class=""SpellE"">Forgie</span> <em>et al</em>. 2006):&#160;<span class=""SpellE""><em>Scarabaeus</em> Linnaeus  1758, <em><span class=""SpellE"">Scarabeolus</span> </em><span class=""SpellE"">Balthasar 1965, <em><span class=""SpellE"">Kheper</span> </em><span class=""SpellE"">Janssens 1940, <em><span class=""SpellE""><span class=""GramE"">Sceliages</span> </em> Westwood 1837, with a representation in the <span class=""SpellE"">Afrotropical</span> region of 55, 27, 21 and seven species  respectively. This species belongs to the subgenus&#160;<span class=""SpellE""><em>Scarabaeus</em>. This  species is currently considered to comprise two varieties, a typically finer  punctuate variety that is widespread in southern Africa and a more coarsely  <span class=""SpellE"">punctate</span> variety that occurs in the lowlands of  southeast east Mozambique and northeast South Africa and may deserve species  status."
137155,Frankenbergerius opacus,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,SCARABAEIDAE,Frankenbergerius,opacus,,,,,"Frolov &amp; Scholtz, 2005","The genus&#160;<em>Frankenbergerius</em>&#160;Balthasar, 1938 has been recently revalidated (Frolov and Scholtz 2005) after being in synonymy with the genus&#160;<em>Coptorhina</em>&#160;Hope 1830. It currently comprises seven species restricted to the eastern and&#160;southwest&#160;margins of South Africa (ScarabNet 2009)."
137159,Onthophagus villanuevai,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,SCARABAEIDAE,Onthophagus,villanuevai,,,,,"Delgado &amp; Deloya, 1990",
137160,Canthon podagricus,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,SCARABAEIDAE,Canthon,podagricus,,,,,"Harold, 1868","<p><em>Canthon </em>is a diverse and heterogeneous genus of dung beetles. Currently, the genus is composed of nine subgenera: <em>Boreocanthon</em>,<em> Canthon </em>s.str., <em>Francmonrosia</em>,<em> Glaphyrocanthon</em>,<em> Goniocanthon</em>,<em> Nesocanthon</em>, <em>Peltecanthon</em>,<em> Pseudepilissus</em>, and&#160;<em>Trichocanthon</em>. Of these, only <em>Boreocanthon </em>and <em>Nesocanthon </em>do not occur in South America.&#160;</p>"
137161,Eodrepanus fastiditus,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,SCARABAEIDAE,Eodrepanus,fastiditus,,,,,"(Péringuey, 1901)","This species has recently been transferred from the genus&#160;<span class=""SpellE""><em>Drepanocerus</em> Kirby  1828 to the new genus <span class=""SpellE""><em>Eodrepanus</em></span> <span class=""SpellE"">Barbero, <span class=""SpellE"">Pallestrini</span> &amp; <span class=""SpellE"">Roggero 2009. It is represented in both the <span class=""SpellE"">Afrotropical</span> and Oriental regions with five species found in  the <span class=""SpellE"">Afrotropical region currently considered valid.  <span class=""SpellE""><em>Eodrepanus</em></span><em> <span class=""SpellE"">fastiditus</em> (<span class=""SpellE"">Péringuey</span>,  1901) is often confused with a close relatives <span class=""SpellE""><em>Eodrepanus</em><em> <span class=""SpellE"">bechynei</span></em> (<span class=""SpellE"">Janssens,  1953) and <span class=""SpellE""><em>Eodrepanus</em></span><em> <span class=""SpellE"">parallelus</em> (<span class=""SpellE"">Raffray</span>,  1877)."
137163,Dichotomius nimuendaju,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,SCARABAEIDAE,Dichotomius,nimuendaju,,,,,"Luederwaldt, 1925","<p>The genus consists of approximately 160 valid species that are distributed throughout Americas. However, the greater diversity of <em>Dichotomius</em> occurs in Brazil. The species that compose the genus are divided into four subgenera: <span lang=""EN-US"">(<em>Dichotomius</em>, <em>Homocanthonides</em>, <em>Selenocopris</em> and <em>Luederwaldtinia</em><span lang=""EN-US"">)</span>. Currently, <em>Dichotomius</em> is being revised by F. Vaz-de-Mello. Thus, the number of valid species and the&#160;internal&#160;structure&#160;of the genus can be changed.</p>"
137164,Canthon indigaceus,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,SCARABAEIDAE,Canthon,indigaceus,,,,,"LeConte, 1866","Halffter (1961) proposed three subspecies: <em>C. indigaceus indigaceus</em>, <em>C. indigaceus chaipas</em> and <em>C. indigaceus chevrolati</em>."
137165,Cryptocanthon genieri,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,SCARABAEIDAE,Cryptocanthon,genieri,,,,,"Cook, 2002","<p>According to Cook (2002),&#160;<em>Cryptocanthon</em>&#160;is a genus with wide occurrence in the New World tropics. They inhabit the litter of wet forests, both lowland rain forests and higher elevation montane and cloud forests, and occur from Brazil to Mexico.&#160;Some species are flightless.</p>"
137166,Frankenbergerius armatus,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,SCARABAEIDAE,Frankenbergerius,armatus,,,,,"(Boheman, 1857)","<p>The genus <em>Frankenbergerius</em> Balthasar 1938 has been recently revalidated (Frolov and Scholtz 2005) after being in synonymy with the genus <em>Coptorhina </em>Hope, 1830. It currently comprises seven species restricted to the eastern and southwest margins of South Africa (ScarabNet 2009).&#160;<em>Frankenbergerius</em>&#160;<em>armatus</em> (Boheman, 1857) comprises two subspecies <em>F. armatus armatus</em> (Boheman, 1857) and <em>F. armatus tuberculatus</em> (Frolov &amp; Scholtz, 2005).</p>"
137169,Coprophanaeus terrali,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,SCARABAEIDAE,Coprophanaeus,terrali,,,,,"Arnaud, 2002","<p>According to Edmonds and Zidek (2010), the Neotropical genus <em>Coprophanaeus</em> Olsoufieff (1924) is currently represented by 38 species, distributed among three subgenera (<em>Megaphanaeus</em> Olsoufieff, <em>Metallophanaeus</em> Olsoufieff, and <em>Coprophanaeus</em> s. str.) and eight species groups. <br/><br/>According to Edmonds and Zidek (2010), <em>C. terrali</em> can be near, or perhaps synonym to <em>C. dardanus</em>. Thus, the authors consider the status of <em>C. terrali</em> uncertain.</p>"
137172,Dichotomius worontzowi,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,SCARABAEIDAE,Dichotomius,worontzowi,,,,,"(Pereira, 1942)","The genus consists of approximately 160 valid species that are distributed throughout the Americas. However, the greater diversity of <em>Dichotomius</em> occurs in Brazil. The species that compose the genus are divided into four subgenera: <em>Dichotomius, Homocanthonides, Selenocopris</em> and <em>Luederwaldtinia</em>. Currently, <em>Dichotomius </em>is being revised by F. Vaz-de-Mello. Thus, the number of valid species and the&#160;internal&#160;structure&#160;of the genus may change."
