internalTaxonId,scientificName,name,genusName,speciesName,speciesAuthor,infraType,infrarankAuthor
170662,Deroceras gavdosensis,"Deroceras gavdosense Wiktor, Vardinoyannis & Mylonas, 1994",Deroceras,gavdosense,"Wiktor, Vardinoyannis & Mylonas, 1994",,
170669,Deroceras karnaniensis,"Deroceras karnaniense Wiktor, 1984",Deroceras,karnaniense,"Wiktor, 1984",,
170671,Deroceras keanense,"Agriolimax andrios Altena, 1973",Agriolimax,andrios,"Altena, 1973",,
170671,Deroceras keanense,"Deroceras keanensis van Regteren Altena, 1973",Deroceras,keanensis,"van Regteren Altena, 1973",,
170676,Deroceras lasithionensis,"Deroceras lasithionense Wiktor, Vardinoyannis & Mylonas, 1994",Deroceras,lasithionense,"Wiktor, Vardinoyannis & Mylonas, 1994",,
170689,Deroceras oertzeni,"Deroceras liebegotti P. Reischutz, 1988",Deroceras,liebegotti,"P. Reischutz, 1988",,
170690,Deroceras pageti,"Deroceras laconicum Wiktor, 1983",Deroceras,laconicum,"Wiktor, 1983",,
170690,Deroceras pageti,"Deroceras saronicum Rahle, 1986",Deroceras,saronicum,"Rahle, 1986",,
170698,Deroceras rethimnonensis,"Deroceras rethimnonense De Winter & Butot, 1986",Deroceras,rethimnonense,"De Winter & Butot, 1986",,
170700,Deroceras rhodensis,"Deroceras rhodense Forcart, 1972",Deroceras,rhodense,"Forcart, 1972",,
170849,Albinaria praeclara,"Clausilia praeclara L. Pfeiffer, 1853",Clausilia,praeclara,"L. Pfeiffer, 1853",,
170937,Mediterranea pygmaeus,"Mediterranea pygmaea Riedel, 1983",Mediterranea,pygmaea,"Riedel, 1983",,
170942,Charpentieria kobeltiana,"Charpentieria  calabrica (Westerlund, 1878)",Charpentieria ,calabrica,"(Westerlund, 1878)",,
170942,Charpentieria kobeltiana,"Clausilia kobeltiana Kuster, 1876",Clausilia,kobeltiana,"Kuster, 1876",,
170942,Charpentieria kobeltiana,"Charpentieria kobeltiana (Küster, 1876) ssp. contorta (Paulucci, 1878)",Charpentieria,kobeltiana,"(Küster, 1876)",subspecies,"(Paulucci, 1878)"
170942,Charpentieria kobeltiana,"Charpentieria kobeltiana (Küster, 1876) ssp. fulcrata (Paulucci, 1878)",Charpentieria,kobeltiana,"(Küster, 1876)",subspecies,"(Paulucci, 1878)"
170966,Albinaria maltzani,"Clausilia maltzani O. Boettger, 1883",Clausilia,maltzani,"O. Boettger, 1883",,
171012,Albinaria candida,"Clausilia candida L. Pfeiffer, 1850",Clausilia,candida,"L. Pfeiffer, 1850",,
171044,Albinaria tenuicostata,"Clausilia tenuicostata L. Pfeiffer, 1864",Clausilia,tenuicostata,"L. Pfeiffer, 1864",,
171050,Albinaria cretensis,"Clausilia cretensis Rossmassler, 1836",Clausilia,cretensis,"Rossmassler, 1836",,
