assessmentId,internalTaxonId,scientificName,type,text,full,value,order
74225114,15038696,Calliptamus madeirae,RedListEvaluators,"Odé, B. & García, M.","Odé, B. & García, M.",Baudewijn Odé (IUCN SSC Grasshopper Specialist Group)|Mariana García (IUCN Global Species Programme),"13179417,56211724"
74225114,15038696,Calliptamus madeirae,RedListContributors,"Kranz, M.","Kranz, M.","Marco Kranz (Trier University, Germany)",79849881
74251711,16084510,Dericorys carthagonovae,RedListAssessors,"Hochkirch, A., Presa, J.J., García, M., Barranco Vega, P., Correas, J., Ferreira, S., Lemos, P. & Prunier, F.","Hochkirch, A., Presa, J.J., García, M., Barranco Vega, P., Correas, J., Ferreira, S., Lemos, P. & Prunier, F.","Sónia Ferreira|Axel Hochkirch (IUCN SSC Grasshopper Specialist Group / Trier University, Germany)|Juan José Presa (University of Murcia / IUCN European Orthoptera Assessment)|Paulo Lemos|Pablo Barranco Vega|José Correas|María Dolores  García|Florent Prunier","13179435,69782476,89764259,87901719,88357893,1882,85649445,95315050"
74251711,16084510,Dericorys carthagonovae,RedListEvaluators,"Odé, B.","Odé, B.",Baudewijn Odé (IUCN SSC Grasshopper Specialist Group),13179417
74251711,16084510,Dericorys carthagonovae,RedListContributors,"Kranz, M.","Kranz, M.","Marco Kranz (Trier University, Germany)",79849881
74251711,16084510,Dericorys carthagonovae,RedListFacilitators,"","García, M.",Mariana García (IUCN Global Species Programme),56211724
74251730,51269274,Dericorys minutus,RedListAssessors,"Hochkirch, A. & López, H.","Hochkirch, A. & López, H.","Axel Hochkirch (IUCN SSC Grasshopper Specialist Group / Trier University, Germany)|Heriberto López","13179435,48150911"
74251730,51269274,Dericorys minutus,RedListEvaluators,"Odé, B. & García, M.","Odé, B. & García, M.",Baudewijn Odé (IUCN SSC Grasshopper Specialist Group)|Mariana García (IUCN Global Species Programme),"13179417,56211724"
74251730,51269274,Dericorys minutus,RedListContributors,"Kranz, M.","Kranz, M.","Marco Kranz (Trier University, Germany)",79849881
74492180,16084374,Euchorthippus madeirae,RedListAssessors,"Hochkirch, A., Silva, I., Aguiar, A. & Kocarek, P.","Hochkirch, A., Silva, I., Aguiar, A. & Kocarek, P.","Axel Hochkirch (IUCN SSC Grasshopper Specialist Group / Trier University, Germany)|Petr Kocarek (IUCN SSC Grasshopper Specialist Group)|Antonio Aguiar|Isamberto Silva","13179435,92626916,92626688,44830970"
74492180,16084374,Euchorthippus madeirae,RedListEvaluators,"Bushell, M. & Cálix, M.","Bushell, M. & Cálix, M.","Mark Bushell (Bristol Zoo, United Kingdom)|Marta Cálix (IUCN European Red List)","42907552,84986092"
74492180,16084374,Euchorthippus madeirae,RedListContributors,"Kranz, M.","Kranz, M.","Marco Kranz (Trier University, Germany)",79849881
74496653,16084578,Oedipoda canariensis,RedListAssessors,"Hochkirch, A.","Hochkirch, A.","Axel Hochkirch (IUCN SSC Grasshopper Specialist Group / Trier University, Germany)",13179435
74496653,16084578,Oedipoda canariensis,RedListEvaluators,"Odé, B. & García, M.","Odé, B. & García, M.",Baudewijn Odé (IUCN SSC Grasshopper Specialist Group)|Mariana García (IUCN Global Species Programme),"13179417,56211724"
74496653,16084578,Oedipoda canariensis,RedListContributors,"Jakobs, D.","Jakobs, D.",David Jakobs (Trier University),16899069
74509111,16084450,Omocestus simonyi,RedListAssessors,"Hochkirch, A.","Hochkirch, A.","Axel Hochkirch (IUCN SSC Grasshopper Specialist Group / Trier University, Germany)",13179435
74509111,16084450,Omocestus simonyi,RedListEvaluators,"Odé, B. & García, M.","Odé, B. & García, M.",Baudewijn Odé (IUCN SSC Grasshopper Specialist Group)|Mariana García (IUCN Global Species Programme),"13179417,56211724"
74509111,16084450,Omocestus simonyi,RedListContributors,"Jakobs, D.","Jakobs, D.",David Jakobs (Trier University),16899069
74510943,47687276,Sphingonotus almeriense,RedListAssessors,"Hochkirch, A., Prunier, F., Correas, J., Presa, J.J., Barranco Vega, P., García, M., Lemos, P. & Ferreira, S.","Hochkirch, A., Prunier, F., Correas, J., Presa, J.J., Barranco Vega, P., García, M., Lemos, P. & Ferreira, S.","Sónia Ferreira|Axel Hochkirch (IUCN SSC Grasshopper Specialist Group / Trier University, Germany)|Juan José Presa (University of Murcia / IUCN European Orthoptera Assessment)|Paulo Lemos|Pablo Barranco Vega|José Correas|María Dolores  García|Florent Prunier","13179435,95315050,88357893,69782476,87901719,89764259,85649445,1882"
74510943,47687276,Sphingonotus almeriense,RedListEvaluators,"Odé, B.","Odé, B.",Baudewijn Odé (IUCN SSC Grasshopper Specialist Group),13179417
74510943,47687276,Sphingonotus almeriense,RedListContributors,"Kranz, M.","Kranz, M.","Marco Kranz (Trier University, Germany)",79849881
74510943,47687276,Sphingonotus almeriense,RedListFacilitators,"","García, M.",Mariana García (IUCN Global Species Programme),56211724
74511281,16084412,Sphingonotus fuerteventurae,RedListAssessors,"Hochkirch, A.","Hochkirch, A.","Axel Hochkirch (IUCN SSC Grasshopper Specialist Group / Trier University, Germany)",13179435
74511281,16084412,Sphingonotus fuerteventurae,RedListEvaluators,"Odé, B. & García, M.","Odé, B. & García, M.",Baudewijn Odé (IUCN SSC Grasshopper Specialist Group)|Mariana García (IUCN Global Species Programme),"13179417,56211724"
