assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
1317238,170832,Delima piceata,ANIMALIA,MOLLUSCA,STYLOMMATOPHORA,GASTROPODA,CLAUSILIIDAE,Delima,piceata,,,,"(Rossmässler, 1836)",Least Concern,,3.1,Stable,Global & Europe
1317289,170834,Albinaria confusa,ANIMALIA,MOLLUSCA,STYLOMMATOPHORA,GASTROPODA,CLAUSILIIDAE,Albinaria,confusa,,,,"(O. Boettger, 1878)",Near Threatened,B1a+2a; D2,3.1,Unknown,Global & Europe
1317303,170835,Oxychilus miguelinus,ANIMALIA,MOLLUSCA,STYLOMMATOPHORA,GASTROPODA,OXYCHILIDAE,Oxychilus,miguelinus,,,,"(L. Pfeiffer, 1856)",Least Concern,,3.1,Stable,Global & Europe
1317317,170836,Gyralina ermonae,ANIMALIA,MOLLUSCA,STYLOMMATOPHORA,GASTROPODA,PRISTILOMATIDAE,Gyralina,ermonae,,,,"E. Gittenberger, 1977",Vulnerable,D2,3.1,Stable,Global & Europe
1317331,170837,Cryptella alegranzae,ANIMALIA,MOLLUSCA,STYLOMMATOPHORA,GASTROPODA,PARMACELLIDAE,Cryptella,alegranzae,,,,"Hutterer &amp; Groh, 1991",Critically Endangered,"B2ab(iii,v); C2a(ii)",3.1,Decreasing,Global & Europe
1317345,170838,Inchoatia inchoata,ANIMALIA,MOLLUSCA,STYLOMMATOPHORA,GASTROPODA,CLAUSILIIDAE,Inchoatia,inchoata,,,,"(O. Boettger, 1889)",Least Concern,,3.1,Stable,Global & Europe
1317359,170839,Limax polipunctatus,ANIMALIA,MOLLUSCA,STYLOMMATOPHORA,GASTROPODA,LIMACIDAE,Limax,polipunctatus,,,,"Pollonera, 1888",Data Deficient,,3.1,Unknown,Global & Europe
1317448,170840,Zonites graecus,ANIMALIA,MOLLUSCA,STYLOMMATOPHORA,GASTROPODA,ZONITIDAE,Zonites,graecus,,,,"Kobelt, 1876",Endangered,"B1ab(ii,iii,v)+2ab(ii,iii,v)",3.1,Decreasing,Global & Europe
1317462,170841,Charpentieria spezialensis,ANIMALIA,MOLLUSCA,STYLOMMATOPHORA,GASTROPODA,CLAUSILIIDAE,Charpentieria,spezialensis,,,,"(H. Nordsieck, 1984)",Critically Endangered,B1ab(iii)+2ab(iii),3.1,Unknown,Global & Europe
1317476,170842,Ferussacia valida,ANIMALIA,MOLLUSCA,STYLOMMATOPHORA,GASTROPODA,FERUSSACIIDAE,Ferussacia,valida,,,,"(Mousson, 1872)",Near Threatened,B2ab(iii),3.1,Stable,Global & Europe
1317518,170845,Macedonica martae,ANIMALIA,MOLLUSCA,STYLOMMATOPHORA,GASTROPODA,CLAUSILIIDAE,Macedonica,martae,,,,"Sajó, 1968",Critically Endangered,B1ab(iii),3.1,Decreasing,Global & Europe
1317532,170846,Montenegrina apfelbecki,ANIMALIA,MOLLUSCA,STYLOMMATOPHORA,GASTROPODA,CLAUSILIIDAE,Montenegrina,apfelbecki,,,,"(Sturany, 1907)",Near Threatened,B1a+2a; D2,3.1,Unknown,Global & Europe
1317682,170850,Charpentieria calcarae,ANIMALIA,MOLLUSCA,STYLOMMATOPHORA,GASTROPODA,CLAUSILIIDAE,Charpentieria,calcarae,,,,"(Philippi, 1844)",Least Concern,,3.1,Stable,Global & Europe
1317696,170851,Bulgarica fritillaria,ANIMALIA,MOLLUSCA,STYLOMMATOPHORA,GASTROPODA,CLAUSILIIDAE,Bulgarica,fritillaria,,,,"(Frivaldsky, 1835)",Least Concern,,3.1,Unknown,Global & Europe
