assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
44114151,157643,Ampedus macedonicus,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,ELATERIDAE,Ampedus,macedonicus,,,,"Schimmel , 1996",Data Deficient,,3.1,Unknown,"Global, Europe & Mediterranean"
44114577,157495,Ampedus minos,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,ELATERIDAE,Ampedus,minos,,,,"Wurst, 1997",Data Deficient,,3.1,Unknown,"Global, Europe & Mediterranean"
44149210,157759,Procraerus cretensis,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,ELATERIDAE,Procraerus,cretensis,,,,"Platia &amp; Gudenzi, 1996",Data Deficient,,3.1,Unknown,"Global, Europe & Mediterranean"
45462306,45462302,Eupholidoptera cephalonica,ANIMALIA,ARTHROPODA,ORTHOPTERA,INSECTA,TETTIGONIIDAE,Eupholidoptera,cephalonica,,,,"Willemse &amp; Willemse, 2004",Near Threatened,,3.1,Decreasing,"Global, Europe & Mediterranean"
45462379,45462354,Eupholidoptera epirotica,ANIMALIA,ARTHROPODA,ORTHOPTERA,INSECTA,TETTIGONIIDAE,Eupholidoptera,epirotica,,,,"(Ramme, 1927)",Least Concern,,3.1,Unknown,"Global, Europe & Mediterranean"
45462578,45462525,Eupholidoptera leucasi,ANIMALIA,ARTHROPODA,ORTHOPTERA,INSECTA,TETTIGONIIDAE,Eupholidoptera,leucasi,,,,"Willemse, 1980",Vulnerable,D2,3.1,Unknown,"Global, Europe & Mediterranean"
45462686,45462624,Eupholidoptera megastyla,ANIMALIA,ARTHROPODA,ORTHOPTERA,INSECTA,TETTIGONIIDAE,Eupholidoptera,megastyla,,,,"(Ramme, 1939)",Least Concern,,3.1,Unknown,"Global, Europe & Mediterranean"
45463162,45463146,Eupholidoptera uvarovi,ANIMALIA,ARTHROPODA,ORTHOPTERA,INSECTA,TETTIGONIIDAE,Eupholidoptera,uvarovi,,,,"(Karabag, 1952)",Near Threatened,,3.1,Decreasing,"Global, Europe & Mediterranean"
45463215,45463212,Eupholidoptera forcipata,ANIMALIA,ARTHROPODA,ORTHOPTERA,INSECTA,TETTIGONIIDAE,Eupholidoptera,forcipata,,,,"Willemse &amp; Kruseman, 1976",Vulnerable,D2,3.1,Unknown,"Global, Europe & Mediterranean"
45463226,45463223,Eupholidoptera icariensis,ANIMALIA,ARTHROPODA,ORTHOPTERA,INSECTA,TETTIGONIIDAE,Eupholidoptera,icariensis,,,,"Willemse, 1980",Vulnerable,D2,3.1,Unknown,"Global, Europe & Mediterranean"
45463236,45463233,Eupholidoptera jacquelinae,ANIMALIA,ARTHROPODA,ORTHOPTERA,INSECTA,TETTIGONIIDAE,Eupholidoptera,jacquelinae,,,,"Tilmans, 2002",Vulnerable,D2,3.1,Unknown,"Global, Europe & Mediterranean"
45463253,45463250,Eupholidoptera kykladica,ANIMALIA,ARTHROPODA,ORTHOPTERA,INSECTA,TETTIGONIIDAE,Eupholidoptera,kykladica,,,,"Çiplak, Heller &amp; Willemse, 2009",Least Concern,,3.1,Unknown,"Global, Europe & Mediterranean"
