assessmentId,scientificName,internalTaxonId,doi
70572787,Isophya lemnotica,17181617,https://dx.doi.org/10.2305/IUCN.UK.2016-1.RLTS.T17181617A70572787.en
70577245,Leptophyes lisae,17181748,https://dx.doi.org/10.2305/IUCN.UK.2016-1.RLTS.T17181748A70577245.en
70577990,Metaplastes oertzeni,17181859,https://dx.doi.org/10.2305/IUCN.UK.2016-1.RLTS.T17181859A70577990.en
70578251,Poecilimon aegaeus,17181896,https://dx.doi.org/10.2305/IUCN.UK.2016-1.RLTS.T17181896A70578251.en
70580066,Poecilimon cretensis,17181947,https://dx.doi.org/10.2305/IUCN.UK.2016-1.RLTS.T17181947A70580066.en
70583263,Poecilimon gerlindae,17181974,https://dx.doi.org/10.2305/IUCN.UK.2016-1.RLTS.T17181974A70583263.en
70587058,Poecilimon mariannae,68458212,https://dx.doi.org/10.2305/IUCN.UK.2016-1.RLTS.T68458212A70587058.en
70588026,Poecilimon nobilis,45466621,https://dx.doi.org/10.2305/IUCN.UK.2016-1.RLTS.T45466621A70588026.en
70588521,Poecilimon obesus,45466644,https://dx.doi.org/10.2305/IUCN.UK.2016-1.RLTS.T45466644A70588521.en
70588894,Poecilimon paros,45466779,https://dx.doi.org/10.2305/IUCN.UK.2016-1.RLTS.T45466779A70588894.en
70589222,Poecilimon propinquus,68458962,https://dx.doi.org/10.2305/IUCN.UK.2016-1.RLTS.T68458962A70589222.en
70590078,Poecilimon soulion,45466695,https://dx.doi.org/10.2305/IUCN.UK.2016-1.RLTS.T45466695A70590078.en
70591713,Poecilimon thessalicus,68459242,https://dx.doi.org/10.2305/IUCN.UK.2016-1.RLTS.T68459242A70591713.en
70592575,Poecilimon veluchianus,68459544,https://dx.doi.org/10.2305/IUCN.UK.2016-1.RLTS.T68459544A70592575.en
70592810,Poecilimon werneri,68459582,https://dx.doi.org/10.2305/IUCN.UK.2016-1.RLTS.T68459582A70592810.en
70592907,Poecilimon zimmeri,68459596,https://dx.doi.org/10.2305/IUCN.UK.2016-1.RLTS.T68459596A70592907.en
70593097,Dolichopoda annae,68313516,https://dx.doi.org/10.2305/IUCN.UK.2016-1.RLTS.T68313516A70593097.en
