scientificName	n_sites	eoo	eoo_overlap
Faronus lefkamontium	2	NA	NA
Cephennium idanum	1	NA	NA
Cephennium latius	1	NA	NA
Cretotyphlus idanus	1	NA	NA
Philodromus johani	2	NA	NA
Dolichopoda paraskevi	17	1893.35818695149	1819.18771601187
Phlegra theseusi	4	89.5727205155496	86.4127609833351
Nebula schneideraria eteocretica	2	NA	NA
Euplectus assingi	6	1201.43829785763	1089.73570099255
Pristiphora parnasia	5	343.637145814849	342.035791331464
Eupholidoptera pallipes	3	2.08341779789396	2.08341779789396
Afropselaphus dornfeldae	1	NA	NA
Eupholidoptera cretica	6	88.7282665484937	88.7282665484937
Anamastigona penicillata	1	NA	NA
Anthaxia idea	3	5.7211528158917	5.7211528158917
Agapanthia cretica	5	1323.31393625847	1318.72699388603
Strigopteroides margotanae	2	NA	NA
Pogonocherus creticus	3	525.82862837759	490.331201289158
Geostiba exsecta	6	9.37972579770902	9.37972579771006
Oxypoda idana	2	NA	NA
Myrmecopora idana	4	7.45980925122232	7.45980925122232
Myrmecopora elisa	4	60.815084182119	60.815084182119
Sepedophilus creticus	4	522.558535846235	522.558535846235
Amblyiulus creticus	8	3831.26326298111	3119.92256088154
Orthotylus mariagratiae	2	NA	NA
Oxypoda bimontium	3	63.2971432779326	63.2971432779326
Temnothorax incompletus	2	NA	NA
Kenotyphlus creticus	1	NA	NA
Cephennium sinuosum	3	362.240238593943	257.552188435909
Cephennium selenanum	1	NA	NA
Geostiba meybohmi	9	131.446485433156	131.446485433156
Amaurobius cretaensis	7	76.3299117256783	76.329911725676
Eupholidoptera annamariae	16	283.597615115561	282.93757217798
Dionconotus confluens creticus	2	NA	NA
Amauronyx askifouicus	1	NA	NA
Eupholidoptera forcipata	9	22.7628709601446	22.7628709601446
Geostiba paulexsecta	3	0.0245002967601036	0.0245002967601036
Dichrooscytus impros	1	NA	NA
Cephennium arcuatum	2	NA	NA
Bellatheta idana	1	NA	NA
Lesteva longoelytrata cretica	7	200.380317773266	200.380317773298
Lesteva szekessyi	1	NA	NA
Bythinus creticus	1	NA	NA
Cretotyphlus hamatus	3	3.05153479874694	3.05153479874694
Sintula cretaensis	1	NA	NA
Walckenaeria clavilobus	1	NA	NA
Messor concolor	1	NA	NA
Dendarus politus	24	431.929303941761	431.929303941761
Sunius diktianus	4	36.063914051786	36.063914051786
Nemesia caranhaci	1	NA	NA
Tychus lagrecai	3	71.1926711302197	71.1926711302197
Coriomeris brevicornis	1	NA	NA
Pyrrhocoris niger	1	NA	NA
Lesteva nitidicollis	2	NA	NA
Chrysis eraklionica	3	113.704733660146	113.704733660146
Raiboscelis corvinus slamai	4	3.49728857565529	3.49728857565529
Drassylus pumiloides	8	1456.82959784296	1456.82959784296
Eupholidoptera mariannae	16	475.479088296674	407.197842481705
Oxypoda cretica	2	NA	NA
Eupholidoptera gemellata	3	0.692546240790439	0.692546240790439
Allotyphlus candicus	4	324.066707222924	270.943345022884
Phytocoris parvuloides	1	NA	NA
Leptobium thryptisense	6	100.303498058031	100.139506321411
Stenichnus orientalis	2	NA	NA
Cephennium curvatum	1	NA	NA
Eupholidoptera feri	1	NA	NA
Rhacocleis derrai	19	3400.48890090232	3044.06075084129
Cephennium hamulatum	1	NA	NA
Afropselaphus diktianus	1	NA	NA
Myllaena cretica	1	NA	NA
Pseudobium creticum	2	NA	NA
Geostiba diktiana	1	NA	NA
Leptodrassus hadjissaranti	7	615.902654131976	615.902654131964
Tectusa diktiana	2	NA	NA
Cousya candica	1	NA	NA
Geomitopsis cretica	2	NA	NA
Cephennium fortespinosum	1	NA	NA
Euconnus zakrius	2	NA	NA
Astenus thripticus	2	NA	NA
Myrmecopora thriptica	3	0.208263126232944	0.208263126232944
Sunius thripticus	3	1.57252788908832	1.57252788908832
Geostiba thryptisensis	5	0.945180761167471	0.945180761167208
Amaurobius geminus	2	NA	NA
Leptomastax thryptica	1	NA	NA
Afropselaphus thripticus	1	NA	NA
Cephennium thripticum	2	NA	NA
Tectusa thriptica	1	NA	NA
Anastrangalia montana steineri	2	NA	NA
Temnothorax ikarosi	1	NA	NA
Stosatea cretica	2	NA	NA
Raiboscelis corvinus brodskyi	15	305.231676863736	305.231676863684
Tentyria sporadica zimmermanni	1	NA	NA
Dendarus maximus	11	41.861532530844	24.5071464427084
Raiboscelis corvinus bilyi	8	13.562088348167	6.66170675929132
Eupholidoptera jacquelinae	9	39.4900512506523	22.3397640608131
Yllenus gavdos	1	NA	NA
Tentyria sporadica gavdosana	6	8.18499630383761	8.1849963038375
Euscorpius candiota	236	14933.6873970957	8208.94950025874
Lithobius creticus	38	6434.03780574864	4361.80705674203
Carabus banoni	150	14226.0492082031	8023.80935333498
Tapinopterus creticus	124	10542.3856523896	6690.14355356864
Megaphyllum cretica	48	9756.80732393922	6138.39979531992
Zabrus oertzeni stepaneki	1	NA	NA
Acanthopetalum minotauri	40	6859.91617223051	5687.68104914932
Iurus dekanum	18	5579.08773090084	5046.18544693282
Platyderus jedlickai	36	6286.7406398181	5544.26880649659
Jekelius brullei creticus	62	7183.2501722425	5908.88524159586
Bembidion subcostatum creticum	7	2152.57427138632	2039.41621966648
Tschitscherinellus cordatus minos	11	4143.1655037122	3402.695292466
Zabrus oertzeni oertzeni	23	985.088524369591	982.976969896158
Zabrus oertzeni creticus	6	15.5452045062801	15.5452045062801
Tapinopterus marani marani	2	NA	NA
Chaetopelma lymberakisi	7	3540.05275830531	3380.30219231142
Eupholidoptera marietheresae	1	NA	NA
Acanthopetalum furculigerum transitionis	1	NA	NA
Calathus oertzeni jeanne	31	4718.91780986944	4168.88692221302
Tapinopterus stepaneki stepaneki	2	NA	NA
Acinopus creticus	9	81.889451655143	81.8894516551408
Zabrus oertzeni	2	NA	NA
Zabrus oertzeni leukaorensis	14	215.479896403656	215.479896403656
Anamastigona mediterranea	1	NA	NA
Tapinopterus stepaneki leucaorensis	2	NA	NA
Bembidion minoum	1	NA	NA
Dendarus falassarnensis	1	NA	NA
Dendarus mylonasi	1	NA	NA
Dendarus grampusanus	1	NA	NA
