sci_name	gbifid.ids	gbifid.class	gbifid.match	gbifid.multiple_matches	gbifid.pattern_match	gbifid.uri
Neocordulia machadoi	6242820	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/6242820
Neocordulia matutuensis	1429680	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1429680
Neocordulia pedroi	6242823	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/6242823
Neocordulia santacatarinensis	6242824	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/6242824
Lestes bipupillatus	5051556	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/5051556
Lestes minutus	5051654	gbifid	found	TRUE	TRUE	https://www.gbif.org/species/5051654
Lestes scalaris	5051605	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/5051605
Lestes spatula	5051638	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/5051638
Lestes tricolor	NA	gbifid	NA due to ask=FALSE & > 1 result	TRUE	FALSE	NA
Carajathemis simone	11370519	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/11370519
Dasythemis venosa	1429479	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1429479
Dythemis rufinervis	1429494	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1429494
Garrisonia aurindae	1429170	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1429170
Macrothemis absimilis	11379227	gbifid	found	TRUE	TRUE	https://www.gbif.org/species/11379227
Macrothemis delia	1428033	gbifid	found	TRUE	TRUE	https://www.gbif.org/species/1428033
Macrothemis fallax	1428030	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1428030
Macrothemis guarauno	1428016	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1428016
Macrothemis hosanai	1428006	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1428006
Macrothemis newtoni	1428052	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1428052
Macrothemis nobilis	1428032	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1428032
Macrothemis proterva	1428044	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1428044
Micrathyria almeidai	1427610	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1427610
Micrathyria debilis	1427637	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1427637
Micrathyria eximia	1427609	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1427609
Micrathyria hesperis	1427627	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1427627
Nephepeltia berlai	1429164	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1429164
Oligoclada borrori	5052191	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/5052191
Oligoclada calverti	5052187	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/5052187
