gbif	n	class	family	genus	kingdom	order	phylum	species	subspecies	NA
5170583	1	Arachnida	Nemesiidae	Nemesia	Animalia	Araneae	Arthropoda	Nemesia daedali	NA	NA
5744410	1	Insecta	Buprestidae	Strigopteroides	Animalia	Coleoptera	Arthropoda	Strigopteroides margotanae	NA	NA
5744413	1	Insecta	Buprestidae	Ptosima	Animalia	Coleoptera	Arthropoda	Ptosima undecimmaculata	Ptosima undecimmaculata metallescens	NA
5748077	1	Insecta	Hydraenidae	Hydraena	Animalia	Coleoptera	Arthropoda	Hydraena subinura	NA	NA
5750006	1	Insecta	Tenebrionidae	Raiboscelis	Animalia	Coleoptera	Arthropoda	Raiboscelis corvinus	Raiboscelis corvinus slamai	NA
5750007	1	Insecta	Tenebrionidae	Raiboscelis	Animalia	Coleoptera	Arthropoda	Raiboscelis corvinus	Raiboscelis corvinus brodskyi	NA
5750009	1	Insecta	Tenebrionidae	Raiboscelis	Animalia	Coleoptera	Arthropoda	Raiboscelis corvinus	Raiboscelis corvinus bilyi	NA
5755389	1	Insecta	Carabidae	Calathus	Animalia	Coleoptera	Arthropoda	Calathus oertzeni	NA	NA
5819538	1	Insecta	Cerambycidae	Leiopus	Animalia	Coleoptera	Arthropoda	Leiopus nebulosus	NA	NA
6001272	1	Insecta	Dytiscidae	Nebrioporus	Animalia	Coleoptera	Arthropoda	Nebrioporus amicorum	NA	NA
6189790	1	Diplopoda	Schizopetalidae	Acanthopetalum	Animalia	Callipodida	Arthropoda	Acanthopetalum furculigerum	Acanthopetalum furculigerum transitionis	NA
6262325	1	Insecta	Leptoceridae	Athripsodes	Animalia	Trichoptera	Arthropoda	Athripsodes longispinosus	Athripsodes longispinosus paleochora	NA
6719167	1	Arachnida	Philodromidae	Philodromus	Animalia	Araneae	Arthropoda	Philodromus johani	NA	NA
6719795	1	Arachnida	Zodariidae	Zodarion	Animalia	Araneae	Arthropoda	Zodarion albipatellare	NA	NA
6719813	1	Arachnida	Zodariidae	Zodarion	Animalia	Araneae	Arthropoda	Zodarion spinibarbe	NA	NA
6872074	1	Insecta	Buprestidae	Anthaxia	Animalia	Coleoptera	Arthropoda	Anthaxia nigrojubata	Anthaxia nigrojubata inexpectata	NA
6872090	1	Insecta	Buprestidae	Anthaxia	Animalia	Coleoptera	Arthropoda	Anthaxia praeclara	Anthaxia praeclara creticola	NA
7343267	1	Insecta	Tenebrionidae	Raiboscelis	Animalia	Coleoptera	Arthropoda	Raiboscelis corvinus	Raiboscelis corvinus corvinus	NA
7412043	1	Insecta	Calopterygidae	Calopteryx	Animalia	Odonata	Arthropoda	Calopteryx splendens	NA	NA
7472497	1	Arachnida	Gnaphosidae	Zelotes	Animalia	Araneae	Arthropoda	Zelotes chaniaensis	NA	NA
7793842	1	Insecta	Carabidae	Platyderus	Animalia	Coleoptera	Arthropoda	Platyderus jedlickai	NA	NA
7800733	1	Insecta	Hydropsychidae	Hydropsyche	Animalia	Trichoptera	Arthropoda	Hydropsyche rhadamanthys	NA	NA
8006760	1	Arachnida	Iuridae	Iurus	Animalia	Scorpiones	Arthropoda	Iurus dekanum	NA	NA
8115368	1	Insecta	Carabidae	Bembidion	Animalia	Coleoptera	Arthropoda	Bembidion minoum	NA	NA
8134855	1	Arachnida	Theridiidae	Theridion	Animalia	Araneae	Arthropoda	Theridion helena	NA	NA
8175532	1	Insecta	Formicidae	Oxyopomyrmex	Animalia	Hymenoptera	Arthropoda	Oxyopomyrmex laevibus	NA	NA
8212005	1	Insecta	Hydropsychidae	Hydropsyche	Animalia	Trichoptera	Arthropoda	Hydropsyche sarpedon	NA	NA
8230708	1	Insecta	Miridae	Orthonotus	Animalia	Hemiptera	Arthropoda	Orthonotus creticus	NA	NA
8279505	1	Insecta	Tenebrionidae	Blaps	Animalia	Coleoptera	Arthropoda	NA	NA	NA
8314083	5	Insecta	Formicidae	Temnothorax	Animalia	Hymenoptera	Arthropoda	NA	NA	NA
8452078	1	Insecta	Tenthredinidae	Pristiphora	Animalia	Hymenoptera	Arthropoda	Pristiphora cretica	NA	NA
8619019	1	Insecta	Tenthredinidae	Heterarthrus	Animalia	Hymenoptera	Arthropoda	Heterarthrus imbrosensis	NA	NA
8675479	1	Insecta	Tenthredinidae	Pristiphora	Animalia	Hymenoptera	Arthropoda	Pristiphora parnasia	NA	NA
8744817	1	Insecta	Cerambycidae	Callimus	Animalia	Coleoptera	Arthropoda	Callimus angulatus	Callimus angulatus glabrescens	NA
8754971	1	Insecta	Carabidae	Zabrus	Animalia	Coleoptera	Arthropoda	Zabrus oertzeni	Zabrus oertzeni creticus	NA
8771478	1	Insecta	Geometridae	Nebula	Animalia	Lepidoptera	Arthropoda	Nebula schneideraria	NA	NA
8827055	1	Insecta	Tenebrionidae	Dendarus	Animalia	Coleoptera	Arthropoda	Dendarus opacus	NA	NA
8853777	1	Insecta	Cerambycidae	Deroplia	Animalia	Coleoptera	Arthropoda	Deroplia troberti	Deroplia troberti cruciata	NA
8863987	1	Insecta	Masaridae	Chrysis	Animalia	Hymenoptera	Arthropoda	Chrysis pseudoscutellaris	NA	NA
8874051	1	Insecta	Tenebrionidae	Dendarus	Animalia	Coleoptera	Arthropoda	Dendarus foraminosus	NA	NA
8875305	1	Insecta	Tenebrionidae	Dendarus	Animalia	Coleoptera	Arthropoda	Dendarus politus	NA	NA
8896694	1	Insecta	Tenebrionidae	Dendarus	Animalia	Coleoptera	Arthropoda	Dendarus falassarnensis	NA	NA
8897672	1	Insecta	Rhyparochromidae	Xanthochilus	Animalia	Hemiptera	Arthropoda	Xanthochilus minusculus	NA	NA
8904616	1	Insecta	Tenebrionidae	Laena	Animalia	Coleoptera	Arthropoda	Laena oertzeni	NA	NA
8907867	1	Insecta	Carabidae	Zabrus	Animalia	Coleoptera	Arthropoda	Zabrus oertzeni	Zabrus oertzeni stepaneki	NA
8918214	1	Insecta	Tenebrionidae	Dendarus	Animalia	Coleoptera	Arthropoda	Dendarus puncticollis	NA	NA
8930893	1	Insecta	Cerambycidae	Prinobius	Animalia	Coleoptera	Arthropoda	Prinobius myardi	Prinobius myardi proksi	NA
8953024	1	Insecta	Tenebrionidae	Dendarus	Animalia	Coleoptera	Arthropoda	Dendarus wettsteini	NA	NA
8955463	1	Insecta	Staphylinidae	Medon	Animalia	Coleoptera	Arthropoda	Medon beroni	NA	NA
8976681	1	Insecta	Tenebrionidae	Odocnemis	Animalia	Coleoptera	Arthropoda	NA	NA	NA
8979961	1	Insecta	Tenebrionidae	Dendarus	Animalia	Coleoptera	Arthropoda	Dendarus grampusanus	NA	NA
8982145	1	Insecta	Tenebrionidae	Erodius	Animalia	Coleoptera	Arthropoda	Erodius orientalis	Erodius orientalis boyeri	NA
9001841	1	Insecta	Geometridae	Aplocera	Animalia	Lepidoptera	Arthropoda	Aplocera cretica	NA	NA
9022905	1	Insecta	Cerambycidae	Phytoecia	Animalia	Coleoptera	Arthropoda	Phytoecia coerulescens	Phytoecia coerulescens cretensis	NA
9058186	1	Insecta	Carabidae	Zabrus	Animalia	Coleoptera	Arthropoda	Zabrus oertzeni	Zabrus oertzeni leukaorensis	NA
9059084	1	Insecta	Tenebrionidae	Dendarus	Animalia	Coleoptera	Arthropoda	Dendarus dragonadanus	NA	NA
9095151	1	Insecta	Staphylinidae	Stenichnus	Animalia	Coleoptera	Arthropoda	Stenichnus basimpressus	NA	NA
9096986	1	Insecta	Tenebrionidae	Dendarus	Animalia	Coleoptera	Arthropoda	Dendarus mylonasi	NA	NA
9118303	1	Insecta	Tenebrionidae	Dendarus	Animalia	Coleoptera	Arthropoda	Dendarus graecus	NA	NA
9129427	1	Insecta	Carabidae	Bembidion	Animalia	Coleoptera	Arthropoda	Bembidion subcostatum	Bembidion subcostatum creticum	NA
9134602	1	Insecta	Carabidae	Harpalus	Animalia	Coleoptera	Arthropoda	Harpalus sulphuripes	Harpalus sulphuripes creticus	NA
9143302	1	Insecta	Carabidae	Zabrus	Animalia	Coleoptera	Arthropoda	Zabrus oertzeni	Zabrus oertzeni oertzeni	NA
9143465	1	Insecta	Tenthredinidae	Strongylogaster	Animalia	Hymenoptera	Arthropoda	Strongylogaster multifasciata	NA	NA
9159904	1	Insecta	Formicidae	Temnothorax	Animalia	Hymenoptera	Arthropoda	Temnothorax ariadnae	NA	NA
9161535	1	Insecta	Staphylinidae	Medon	Animalia	Coleoptera	Arthropoda	Medon cerrutii	NA	NA
9170885	1	Insecta	Masaridae	Chrysis	Animalia	Hymenoptera	Arthropoda	Chrysis grohmanni	Chrysis grohmanni creteensis	NA
9179727	1	Insecta	Tenebrionidae	Dendarus	Animalia	Coleoptera	Arthropoda	Dendarus maximus	NA	NA
9216074	1	Insecta	Tenebrionidae	Helops	Animalia	Coleoptera	Arthropoda	Helops glabriventris	Helops glabriventris jelineki	NA
9273780	1	Insecta	Buprestidae	Perotis	Animalia	Coleoptera	Arthropoda	Perotis margotanus	NA	NA
9336070	1	Insecta	Buprestidae	Anthaxia	Animalia	Coleoptera	Arthropoda	Anthaxia senicula	Anthaxia senicula cretica	NA
9353860	1	Insecta	Tenthredinidae	Allantus	Animalia	Hymenoptera	Arthropoda	Allantus laticinctus	NA	NA
9410498	1	Insecta	Buprestidae	Lamprodila	Animalia	Coleoptera	Arthropoda	Lamprodila cretica	NA	NA
9854858	1	Insecta	Staphylinidae	Scydmoraphes	Animalia	Coleoptera	Arthropoda	Scydmoraphes ziegleri	NA	NA
9928048	1	Insecta	Staphylinidae	Kenotyphlus	Animalia	Coleoptera	Arthropoda	Kenotyphlus creticus	NA	NA
9946019	1	Insecta	Staphylinidae	Tectusa	Animalia	Coleoptera	Arthropoda	Tectusa diktiana	NA	NA
9947494	1	Insecta	Staphylinidae	Myrmecopora	Animalia	Coleoptera	Arthropoda	Myrmecopora idana	NA	NA
9951020	1	Insecta	Staphylinidae	Aloconota	Animalia	Coleoptera	Arthropoda	Aloconota minoica	NA	NA
9980492	1	Insecta	Staphylinidae	Geostiba	Animalia	Coleoptera	Arthropoda	Geostiba diktiana	NA	NA
9985532	1	Insecta	Staphylinidae	Astenus	Animalia	Coleoptera	Arthropoda	Astenus minos	NA	NA
9998587	1	Insecta	Staphylinidae	Bellatheta	Animalia	Coleoptera	Arthropoda	Bellatheta albimontis	NA	NA
NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA10	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA11	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA12	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA13	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA14	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA15	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA16	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA17	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA18	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA20	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA21	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA22	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA23	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA24	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA25	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA26	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA27	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA28	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA29	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA30	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA31	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA32	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA33	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA34	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA35	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA36	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA4	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA5	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA6	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA7	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA8	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA9	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
